ID,diffuse,compact,merger,off_center,nearby,irregular,problematic,NBs,NBID,RA,DEC,F_Lya,dF_Lya,EW_rest,fuv,dfuv,U-B,Type,SpatialWeight,ID_2
466137,0,0,4,1,1,2,0,466,137,53.1380923,-27.7720878,4.75E-17,4.95E-18,63.47,1.36E-30,1.53E-31,0.74,N,3.21,466137
466140,0,4,0,1,0,0,0,466,140,53.0492705,-27.7679655,4.65E-17,7.41E-18,46.95,1.79E-30,2.13E-31,1.1,N,2.27,466140
466143,0,5,0,3,1,0,0,466,143,53.2327505,-27.7663645,3.28E-17,7.47E-18,30.49,1.95E-30,2.26E-31,0.52,N,4.65,466143
466145,3,1,0,2,0,0,2,466,145,53.2616215,-27.7635411,3.09E-17,5.42E-18,474.14,1.18E-31,1.70E-31,0.71,N,4.51,466145
466146,0,1,0,3,3,2,0,466,146,53.1732427,-27.7630462,3.00E-17,5.96E-18,91.12,5.96E-31,1.70E-31,0.34,N,3.97,466146
466154,0,0,0,0,0,0,5,466,154,52.860852,-27.7421936,1.27E-16,1.12E-17,30.41,7.54E-30,5.61E-31,2.84,N,2.51,466154
466155,3,0,0,2,2,1,1,466,155,52.8629621,-27.7417904,1.15E-16,1.12E-17,39.88,5.23E-30,5.00E-31,3.93,N,2.56,466155
466156,0,0,0,0,0,0,5,466,156,52.8693492,-27.7470733,1.65E-16,1.50E-17,42.07,7.11E-30,5.42E-31,1.13,N,2.71,466156
466158,0,0,0,4,1,2,0,466,158,52.9456339,-27.736159,3.58E-17,8.50E-18,29.75,2.18E-30,2.73E-31,0.77,N,3.26,466158
466162,0,5,0,0,0,0,0,466,162,52.9616972,-27.7274072,3.27E-17,3.98E-18,122.68,4.82E-31,1.26E-31,0.99,N,2.9,466162
466164,0,0,1,0,0,1,0,466,164,53.2124261,-27.7273041,5.07E-17,5.76E-18,39.6,2.32E-30,1.57E-31,0.71,N,2.8,466164
466174,2,0,0,0,0,0,3,466,174,53.3309539,-27.7082214,8.94E-17,1.53E-17,23.88,6.78E-30,5.90E-31,1.07,N,3.73,466174
466175,0,4,0,0,0,0,0,466,175,53.3065292,-27.7060328,3.37E-17,4.57E-18,81.44,7.48E-31,1.51E-31,1.15,N,3.52,466175
466178,0,0,1,1,5,2,0,466,178,53.2065661,-27.7032243,1.74E-16,9.94E-18,70.78,4.44E-30,2.98E-31,0.64,N,1.75,466178
466179,3,0,0,0,0,0,3,466,179,53.3235109,-27.7016499,3.08E-17,7.07E-18,246.5,2.26E-31,3.44E-31,-0.2,N,3.93,466179
466183,5,0,0,0,0,2,0,466,183,53.3412731,-27.6915177,3.53E-17,7.40E-18,43.24,1.48E-30,2.35E-31,1.21,N,3.88,466183
466184,0,4,1,1,3,2,0,466,184,52.9429316,-27.6920107,3.74E-17,7.88E-18,32.7,2.07E-30,2.80E-31,0.85,N,3.09,466184
466186,1,1,3,0,2,4,0,466,186,52.9165384,-27.6877209,4.29E-17,7.55E-18,32.43,2.39E-30,2.67E-31,1.1,N,3.36,466186
466187,0,0,3,0,2,4,0,466,187,52.99377,-27.6813912,5.12E-17,9.22E-18,24.05,3.85E-30,3.15E-31,0.98,N,1.72,466187
466190,1,0,0,0,0,0,3,466,190,53.344875,-27.6705963,3.28E-17,5.47E-18,9000,6.59E-33,1.62E-31,-1.42,N,3.42,466190
466191,0,3,0,0,0,0,0,466,191,53.3222733,-27.6710257,3.20E-17,6.05E-18,29.87,1.94E-30,1.79E-31,1.23,N,3.58,466191
466192,0,0,4,0,1,5,0,466,192,52.9202414,-27.6706542,5.61E-17,5.52E-18,21.57,4.71E-30,1.97E-31,0.94,N,3.21,466192
466194,3,0,1,0,2,1,0,466,194,53.3342708,-27.6685444,3.40E-17,4.70E-18,65.29,9.43E-31,1.40E-31,0.72,N,3.53,466194
466195,0,0,0,1,0,0,5,466,195,53.0804866,-27.6657693,6.60E-17,9.47E-18,54.68,2.19E-30,4.62E-31,0.6,N,2.27,466195
466196,0,1,0,4,4,1,0,466,196,53.0774401,-27.6655799,5.69E-17,1.02E-17,23.5,4.38E-30,4.93E-31,0.86,N,2.27,466196
466198,0,2,0,4,0,0,1,466,198,53.0861871,-27.6573615,4.63E-17,8.87E-18,493.2,1.70E-31,4.31E-31,-0.72,N,2.31,466198
466208,0,0,3,0,1,4,0,466,208,53.0797384,-27.6075672,5.59E-17,9.09E-18,30.28,3.35E-30,2.92E-31,0.83,N,2.04,466208
466210,4,0,1,1,1,2,0,466,210,53.0127423,-27.6003879,9.75E-17,1.35E-17,44.69,3.95E-30,4.51E-31,0.36,N,1.78,466210
466211,0,1,3,0,3,0,0,466,211,52.9953681,-27.5878089,5.45E-16,7.79E-18,45.53,2.17E-29,2.67E-31,0.92,X,1.53,466211
466212,0,0,0,3,5,1,0,466,212,53.0920541,-27.5760541,6.50E-17,1.02E-17,32.13,3.66E-30,3.45E-31,0.68,N,1.6,466212
470006,0,0,3,1,4,3,0,470,6,52.845041,-28.0311089,1.92E-16,2.60E-17,25.67,1.34E-29,6.82E-31,1.75,N,0.65,470006
470008,0,1,4,0,4,3,0,470,8,53.1547284,-27.9960652,6.43E-17,5.66E-18,43.18,2.67E-30,2.09E-31,0.64,N,1.82,470008
470010,1,0,3,0,2,5,0,470,10,53.171968,-27.9781355,4.69E-17,8.03E-18,23.06,3.65E-30,2.62E-31,0.39,N,2.16,470010
470011,0,0,3,1,5,3,0,470,11,53.0375375,-27.9798103,9.67E-17,7.40E-18,26.43,6.57E-30,2.58E-31,0.35,N,1.62,470011
470013,0,0,4,0,2,1,0,470,13,53.0275972,-27.9701119,3.47E-17,6.99E-18,26.78,2.32E-30,2.32E-31,0.64,N,1.75,470013
470014,0,1,0,0,0,1,0,470,14,53.1061775,-27.9723544,1.55E-16,1.31E-17,20.5,1.36E-29,9.86E-31,0.46,N,1.78,470014
470017,0,3,1,0,0,1,0,470,17,52.9387377,-27.9663149,1.02E-16,8.63E-18,135.53,1.35E-30,3.00E-31,0.62,N,1.33,470017
470019,1,0,3,0,1,4,0,470,19,53.2664328,-27.9625375,3.17E-17,6.82E-18,28.49,2.00E-30,2.42E-31,0.76,N,1.11,470019
470028,0,0,4,0,0,2,0,470,28,53.166708,-27.9453892,1.98E-16,8.07E-18,76.77,4.62E-30,2.78E-31,0.3,N,2.35,470028
470029,0,4,1,0,0,0,0,470,29,52.9457312,-27.9421021,3.69E-17,6.08E-18,120.28,5.50E-31,2.19E-31,0.41,N,1.61,470029
470031,0,1,5,0,1,3,0,470,31,53.1652454,-27.9382735,6.08E-17,6.07E-18,85.99,1.27E-30,1.91E-31,0.76,N,2.26,470031
470032,0,4,1,0,0,0,1,470,32,53.2650626,-27.9210265,3.16E-17,6.04E-18,72.51,7.81E-31,2.17E-31,0.9,N,1.35,470032
470033,0,3,0,0,5,0,0,470,33,53.1164635,-27.915346,9.77E-17,5.39E-18,71.39,2.46E-30,2.12E-31,0.53,N,1.8,470033
470034,0,1,2,0,1,2,0,470,34,53.0214564,-27.9089684,5.09E-17,5.01E-18,87.03,1.05E-30,1.70E-31,0.84,N,2.35,470034
470035,0,0,3,0,5,3,0,470,35,53.0136017,-27.903238,9.70E-17,1.02E-17,26.96,6.46E-30,3.60E-31,0.31,N,2.33,470035
470036,4,0,2,0,3,1,0,470,36,53.3098262,-27.898041,3.22E-17,6.69E-18,67.05,8.61E-31,2.32E-31,0.53,N,1.19,470036
470038,0,5,0,0,1,0,0,470,38,53.0770881,-27.8956909,3.46E-17,4.31E-18,228.05,2.72E-31,1.51E-31,0.56,N,1.69,470038
470039,0,0,1,2,0,0,0,470,39,52.9330561,-27.8896067,4.12E-17,7.64E-18,21.49,3.44E-30,2.66E-31,0.48,N,1.18,470039
470041,0,3,1,0,0,1,0,470,41,53.0107109,-27.882829,5.20E-17,8.39E-18,33.79,2.77E-30,2.88E-31,0.32,N,1.99,470041
470047,0,0,1,0,0,1,0,470,47,53.1985764,-27.8614526,5.29E-17,8.23E-18,89.89,1.06E-30,2.67E-31,0.88,N,1.66,470047
470049,0,4,0,0,0,0,1,470,49,53.3395074,-27.8475801,4.02E-17,4.98E-18,123.08,5.87E-31,1.77E-31,0.89,N,1.14,470049
470050,0,2,1,1,5,1,0,470,50,53.1923997,-27.8443264,4.26E-17,5.53E-18,80.75,9.46E-31,1.94E-31,0.83,N,2.05,470050
470056,2,0,0,0,0,0,3,470,56,52.876896,-27.8187044,3.86E-17,5.22E-18,9000,7.70E-33,1.63E-31,-1.69,N,1.37,470056
470057,2,0,0,0,0,0,3,470,57,52.876751,-27.8206984,2.06E-16,1.17E-17,5521.19,6.70E-32,3.68E-31,0.58,N,1.37,470057
470065,0,0,4,1,5,1,0,470,65,53.1448548,-27.7999194,5.12E-17,4.79E-18,109.42,8.40E-31,1.70E-31,1.53,N,3.4,470065
470067,1,3,0,0,5,0,0,470,67,53.2005282,-27.798565,1.13E-16,1.31E-17,79.23,2.57E-30,4.37E-31,0.52,N,3.31,470067
470070,0,4,0,0,0,0,0,470,70,53.1014859,-27.7927251,2.93E-17,3.92E-18,71.42,7.37E-31,1.51E-31,0.74,N,3.12,470070
470071,0,0,0,3,0,0,3,470,71,53.1362325,-27.7874855,1.04E-16,9.09E-18,9000,2.08E-32,3.29E-31,-1.15,N,3.67,470071
470072,0,0,3,0,5,4,0,470,72,53.0782559,-27.7869727,9.83E-17,6.47E-18,99.11,1.78E-30,2.22E-31,1.28,N,2.72,470072
470075,0,0,3,0,5,4,0,470,75,53.1989685,-27.7795338,3.39E-17,6.92E-18,23.33,2.61E-30,2.20E-31,0.62,N,3.74,470075
470076,0,0,1,2,5,0,0,470,76,53.1952096,-27.7793245,1.44E-16,1.18E-17,90.6,2.84E-30,3.74E-31,0.65,N,3.84,470076
470081,0,0,3,1,5,1,0,470,81,53.1752847,-27.7690953,2.94E-17,5.78E-18,73.52,7.17E-31,1.82E-31,0.8,N,4.05,470081
